Rank,Movie Title,Opening Theaters,Revenue,Studio,Total Gross Theaters,Total Gross Theaters2
1,Black Panther,$202003951,$498055615,BV,$700059566,$4084
10,Venom (2018),$80255756,$132713508,Sony,$212969264,$4250
100,Sorry to Bother You,$727266,$16765830,Annapurna,$17493096,$1050
11,A Star is Born (2018),$42908051,$156412191,WB,$199320242,$3904
12,A Quiet Place,$50203562,$137820799,Par.,$188024361,$3808
13,Bohemian Rhapsody,$51061119,$130076105,Fox,$181137224,$4000
14,Crazy Rich Asians,$26510140,$147499988,WB,$174010128,$3865
15,Hotel Transylvania 3: Summer Vacation,$44076225,$123433791,Sony,$167510016,$4267
16,Halloween (2018),$76221545,$83081515,Uni.,$159303060,$3990
17,Ralph Breaks the Internet,$56237634,$98547007,BV,$154784641,$4017
18,Fantastic Beasts: The Crimes of Grindelwald,$62163104,$90060300,WB,$152223404,$4163
19,The Meg,$45402195,$97603661,WB,$143005856,$4118
2,Avengers: Infinity War,$257698183,$421117299,BV,$678815482,$4474
20,Ocean's 8,$41607378,$97770384,WB,$139377762,$4145
21,Ready Player One,$41764050,$95254405,WB,$137018455,$4234
22,Mamma Mia! Here We Go Again,$34952180,$85682755,Uni.,$120634935,$3514
23,The Nun,$53807379,$63642740,WB (NL),$117450119,$3876
24,Peter Rabbit,$25010928,$90242496,Sony,$115253424,$3725
25,Creed II,$35574710,$69839331,MGM,$105414041,$3752
26,The Equalizer 2,$36011640,$66072722,Sony,$102084362,$3388
27,A Wrinkle in Time,$33123609,$67354999,BV,$100478608,$3980
28,Fifty Shades Freed,$38560195,$61847565,Uni.,$100407760,$3768
29,Rampage (2018),$35753093,$63592857,WB (NL),$99345950,$4115
3,Incredibles 2,$182687905,$425893839,BV,$608581744,$4410
30,Disney's Christopher Robin,$24585139,$74629903,BV,$99215042,$3602
31,I Can Only Imagine,$17108914,$66373438,RAtt.,$83482352,$2894
32,Smallfoot,$23045635,$59542183,WB,$82587818,$4131
33,Night School (2018),$27257615,$49935915,Uni.,$77193530,$3019
34,The First Purge,$17374280,$51712045,Uni.,$69086325,$3038
35,Game Night,$17005332,$51995681,WB (NL),$69001013,$3502
36,Book Club,$13582231,$54984065,Par.,$68566296,$3169
