Opened,Closed,Updated,Status,Responsible Agency,Category,Neighborhood,Source
08/19/2015 08:00:55 AM,03/14/2016 01:38:02 PM,03/14/2016 01:38:02 PM,Closed,Port Authority - Temporary Sign Request Queue,Temporary Sign Request,Financial District,Voice In
07/14/2015 08:16:16 AM,07/14/2015 08:58:30 AM,07/14/2015 08:58:30 AM,Closed,Animal Care and Control - G,General Requests,South of Market,Voice In
07/14/2015 08:17:47 AM,07/14/2015 08:50:00 AM,07/14/2015 08:50:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,North Beach,Open311
01-09-2016 18:42,03/14/2016 08:29:43 PM,03/14/2016 08:29:43 PM,Closed,DPT Color Curb Queue,Color Curb,Mission,Web Self Service
09-10-2015 14:38,09-11-2015 06:42,09-11-2015 06:42,Closed,DPT Signal Queue,Damaged Property,Nob Hill,Voice In
02-01-2016 14:43,,06-02-2016 01:04,Open,DPW BSM Queue,Street Defects,Chinatown,Open311
08/13/2015 08:16:12 PM,08/14/2015 06:10:30 AM,08/14/2015 06:10:30 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03/30/2016 08:59:32 PM,06-02-2016 16:00,06-02-2016 16:00,Closed,DPT Color Curb Queue,Sign Repair,Russian Hill,Open311
08/14/2015 08:31:24 AM,08/15/2015 08:22:19 AM,08/15/2015 08:22:19 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
04-03-2016 11:32,,06-02-2016 15:57,Open,DPT - Color Curb - G,General Requests,Russian Hill,Voice In
04/21/2016 10:39:57 AM,,06-02-2016 15:57,Open,DPT - Color Curb - G,General Requests,Mission,Voice In
02-02-2016 17:49,,03-01-2016 10:11,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Mission,Web Self Service
05-08-2016 07:54,06-02-2016 10:19,06-02-2016 10:19,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Open311
02/17/2016 02:52:43 PM,03/14/2016 12:57:47 PM,03/14/2016 12:57:47 PM,Closed,PUC Sewer Ops,Catch Basin Maintenance,Mission,Voice In
02/18/2016 02:09:33 AM,03/14/2016 01:04:08 PM,03/14/2016 01:04:08 PM,Closed,PUC Sewer Ops,General Requests,Mission,Integrated Agency
02/18/2016 06:56:33 AM,03/14/2016 12:50:21 PM,03/14/2016 12:50:21 PM,Closed,PUC Sewer Ops,Street Defects,South of Market,Integrated Agency
05/16/2016 08:53:40 AM,,06-02-2016 13:32,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Voice In
08/14/2015 09:43:52 AM,08/14/2015 12:05:40 PM,08/14/2015 12:05:40 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Chinatown,Integrated Agency
07/29/2015 03:31:24 PM,07/30/2015 09:22:44 AM,07/30/2015 09:22:44 AM,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Voice In
03-08-2016 13:43,04/28/2016 02:05:17 PM,04/28/2016 02:05:17 PM,Closed,Port Authority - Temporary Sign Request Queue,Temporary Sign Request,South of Market,Voice In
08/14/2015 09:44:29 AM,08/14/2015 12:22:06 PM,08/14/2015 12:22:06 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
08/14/2015 09:45:11 AM,08/17/2015 10:28:00 AM,08/17/2015 10:28:00 AM,Closed,DPW BSSR Queue,Street Defects,Russian Hill,Voice In
02/27/2016 11:22:24 AM,03/14/2016 10:45:27 AM,03/14/2016 10:45:27 AM,Closed,PUC Sewer Ops,Sewer Issues,South of Market,Open311
02/29/2016 12:45:57 PM,,03/14/2016 01:07:20 PM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Financial District,Voice In
08/13/2015 06:25:43 PM,09-09-2015 08:35,09-09-2015 08:35,Closed,PUC Sewer Ops,Sewer Issues,Mission,Voice In
08/14/2015 03:27:46 PM,08/16/2015 01:06:00 AM,08/16/2015 01:06:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Web Self Service
09/21/2015 01:57:07 PM,09/23/2015 07:22:19 AM,09/23/2015 07:22:19 AM,Closed,DPW Ops Queue,Litter Receptacles,Mission,Voice In
08/13/2015 08:10:37 PM,08/14/2015 05:07:00 AM,08/14/2015 05:07:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
08/14/2015 04:28:24 PM,11-03-2015 10:09,11-03-2015 10:09,Closed,DPT Meter_Bike Queue,Damaged Property,Chinatown,Voice In
03-06-2016 10:39,,03/14/2016 12:00:00 PM,Open,DPW - Bureau of Street Use and Mapping - G,General Requests,South of Market,Integrated Agency
07/29/2015 01:20:49 PM,07/29/2015 02:04:47 PM,07/29/2015 02:04:47 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
01/16/2016 09:58:00 AM,03-01-2016 09:29,03-01-2016 09:29,Closed,PUC Sewer Ops,Catch Basin Maintenance,South of Market,Voice In
07/29/2015 01:45:33 PM,07/29/2015 02:17:13 PM,07/29/2015 02:17:13 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
03-07-2016 13:52,03/14/2016 10:42:22 AM,03/14/2016 10:42:22 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Russian Hill,Voice In
07/29/2015 01:46:13 PM,08-07-2015 13:47,08-07-2015 13:47,Closed,SFMTA - Temporary Sign Request Queue,Temporary Sign Request,Mission,Voice In
03-07-2016 20:28,04/25/2016 11:32:56 AM,04/25/2016 11:32:56 AM,Closed,PUC Sewer Ops,Street Defects,South of Market,Integrated Agency
08/13/2015 08:11:07 PM,08/13/2015 09:22:56 PM,08/13/2015 09:22:56 PM,Closed,Recology_Overflowing,Street and Sidewalk Cleaning,South of Market,Integrated Agency
03-08-2016 08:40,03/14/2016 08:51:59 AM,03/14/2016 08:51:59 AM,Closed,DPT Meter_Bike Queue,Damaged Property,Civic Center,Voice In
01/23/2016 08:00:21 AM,,03-01-2016 08:26,Open,DPW Ops Queue,Graffiti Private Property,Mission,Open311
03-08-2016 09:03,03/14/2016 10:29:48 PM,03/14/2016 10:29:48 PM,Closed,311 Service Request Queue - Hold,Graffiti Public Property,Mission,Open311
03-08-2016 09:14,03/14/2016 10:29:49 PM,03/14/2016 10:29:49 PM,Closed,311 Service Request Queue - Hold,Graffiti Public Property,Mission,Open311
03-08-2016 09:15,03/14/2016 10:29:48 PM,03/14/2016 10:29:48 PM,Closed,311 Service Request Queue - Hold,Graffiti Public Property,Mission,Open311
03-08-2016 17:57,03/14/2016 06:53:08 AM,03/14/2016 06:53:08 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Mission,Voice In
03-08-2016 09:16,03/14/2016 10:29:50 PM,03/14/2016 10:29:50 PM,Closed,311 Service Request Queue - Hold,Graffiti Public Property,Mission,Open311
08/13/2015 08:12:51 PM,08/14/2015 06:10:30 AM,08/14/2015 06:10:30 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03-08-2016 19:19,,03/14/2016 09:01:30 AM,Open,DPT - Meters - G,Sign Repair,South of Market,Open311
03-08-2016 09:35,03/14/2016 10:29:50 PM,03/14/2016 10:29:50 PM,Closed,311 Service Request Queue - Hold,Graffiti Public Property,Mission,Open311
03-08-2016 09:40,03/14/2016 10:29:50 PM,03/14/2016 10:29:50 PM,Closed,311 Service Request Queue - Hold,Graffiti Public Property,Mission,Open311
10-08-2015 14:36,,10-08-2015 14:37,Open,DPW BSM Queue,Illegal Postings,South of Market,Voice In
03-08-2016 10:27,03/14/2016 10:29:49 PM,03/14/2016 10:29:49 PM,Closed,311 Service Request Queue - Hold,Graffiti Public Property,Mission,Open311
03-08-2016 10:57,03/14/2016 10:29:50 PM,03/14/2016 10:29:50 PM,Closed,311 Service Request Queue - Hold,Graffiti Public Property,Mission,Open311
03-08-2016 10:59,03/14/2016 10:29:50 PM,03/14/2016 10:29:50 PM,Closed,311 Service Request Queue - Hold,Graffiti Public Property,Mission,Open311
03-08-2016 11:06,03/14/2016 10:29:51 PM,03/14/2016 10:29:51 PM,Closed,311 Service Request Queue - Hold,Graffiti Public Property,Mission,Open311
08/13/2015 08:13:51 PM,08/14/2015 05:07:00 AM,08/14/2015 05:07:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
02-05-2016 15:07,,03-01-2016 09:34,Open,DPW Ops Queue,Graffiti Private Property,Chinatown,Open311
07/29/2015 07:47:04 PM,07/30/2015 03:15:20 AM,07/30/2015 03:15:20 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/14/2015 08:25:35 AM,07/14/2015 08:50:00 AM,07/14/2015 08:50:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,North Beach,Open311
02-07-2016 20:52,,03-01-2016 09:09,Open,DPW Ops Queue,Graffiti Private Property,Mission,Open311
03-09-2016 10:09,03/14/2016 11:20:43 AM,03/14/2016 11:20:43 AM,Closed,DPT Meter_Bike Queue,Damaged Property,North Beach,Web Self Service
03-09-2016 10:16,,03/14/2016 09:40:57 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Financial District,Web Self Service
07/31/2015 05:20:52 AM,07/31/2015 09:10:48 AM,07/31/2015 09:10:48 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Web Self Service
07/14/2015 04:56:20 PM,07/15/2015 11:44:41 AM,07/15/2015 11:44:41 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
03-09-2016 12:17,,03/14/2016 12:00:00 PM,Open,DPW BSM Queue,Street Defects,Mission,Voice In
03-09-2016 14:18,03/14/2016 03:16:28 PM,03/14/2016 03:16:28 PM,Closed,Assessor - Public Service/Exemptions,General Requests,Russian Hill,Voice In
05/25/2016 06:12:34 PM,,06-02-2016 08:03,Open,DPW BSM Queue,Street Defects,Civic Center,Open311
08/15/2015 10:12:26 AM,08/15/2015 12:38:51 PM,08/15/2015 12:38:51 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
02-12-2016 17:38,03-01-2016 09:08,03-01-2016 09:08,Closed,DPT Meter_Bike Queue,Damaged Property,South of Market,Voice In
05/26/2016 06:05:43 PM,06-02-2016 07:42,06-02-2016 07:42,Closed,DPT Signal Queue,General Requests,South of Market,Voice In
05/27/2016 07:46:43 AM,06-02-2016 05:44,06-02-2016 05:44,Closed,Recology_Litter,Litter Receptacles,South of Market,Open311
05/27/2016 08:03:55 AM,06-02-2016 06:07,06-02-2016 06:07,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Russian Hill,Voice In
