Region,Item_Code,Item,first_sale_date,last_sale_date,mean_demand,std_demand,cv,demand_count,total_periods,adi,Category,seasonality_score,final_category,ABC_classification
IND,200040,CYL DIA70 M/C LG02 BP02,04-01-2023,03-01-2025,27.2173913,17.56276154,0.416382641,23,24,1.043478261,Smooth,1.161555016,Seasonal,B
IND,210020,"CYL NO1 DIA70 M/C TS03,10,15LB",04-01-2023,03-01-2025,150.625,31.48334618,0.043688552,24,24,1,Smooth,0.919777382,Smooth,A
IND,00021002B,CYL NO1 DIA70 M/C SP,04-01-2023,02-01-2025,3.5625,3.326033674,0.871652816,16,23,1.4375,Lumpy,1.077319099,Lumpy,C
IND,00021003A,CYL HEAD DIA70 W/LAPPING SP,04-01-2023,03-01-2025,1.615384615,0.767947648,0.226001512,13,24,1.846153846,Intermittent,0.998995557,Intermittent,C
IND,00021003B,HEAD DIA70 CYL-FV M/C SS02EXP,04-01-2023,03-01-2025,14.52173913,8.810477055,0.368096415,23,24,1.043478261,Smooth,1.203195247,Seasonal,C
IND,210040,CYL DIA50 M/C TS02/03,04-01-2023,03-01-2025,68.95833333,20.65130624,0.089685357,24,24,1,Smooth,0.991581898,Smooth,A
IND,00021004C,CYL DIA50 M/C HP03/05,04-01-2023,12-01-2024,5.857142857,3.61316275,0.380542717,14,21,1.5,Intermittent,0.992621494,Intermittent,C
IND,00021010A,CYL DIA100 D/V M/C SS15 TS12,04-01-2023,03-01-2025,187.9166667,90.70013502,0.232962097,24,24,1,Smooth,0.845628711,Smooth,A
IND,00021010D,CYL DIA100 M/C SS07 EXPORT,04-01-2023,03-01-2025,188.9166667,41.91597876,0.049228735,24,24,1,Smooth,1.066258114,Seasonal,A
IND,00021011C,CYL DIA60 M/C HP07/10/20,04-01-2023,03-01-2025,10.63157895,7.064862398,0.441582525,19,24,1.263157895,Smooth,0.923430343,Smooth,B
IND,210260,CENTRAL COOLER M/C SS07/10,04-01-2023,03-01-2025,4.826086957,2.774103851,0.330411493,23,24,1.043478261,Smooth,1.007320065,Seasonal,C
IND,210270,CENTRAL COOLER M/C SS03/05,04-01-2023,03-01-2025,3.388888889,2.992911014,0.779961111,18,24,1.333333333,Lumpy,0.874397664,Lumpy,C
IND,210400,HEAD DIA60 CYL M/C LG CRC ICRC,04-01-2023,03-01-2025,22.33333333,30.00555504,1.805079082,21,24,1.142857143,Erratic,0.817234762,Erratic,B
IND,00021238C,HEAD DIA100 CYL M/C SS07EXPORT,04-01-2023,03-01-2025,164.625,52.45935279,0.101544003,24,24,1,Smooth,1.197222366,Seasonal,A
IND,00021239A,HEAD DIA100 CYL M/C D/V SS15,04-01-2023,03-01-2025,16.31818182,22.11740612,1.837066382,22,24,1.090909091,Erratic,0.950150786,Erratic,B
IND,213020,HEAD DIA60 CYL M/C TRC1000MN/B,04-01-2023,03-01-2025,12.1875,14.69339421,1.45349989,16,24,1.5,Lumpy,1.064727042,Lumpy,C
IND,213930,HEAD DIA70 CYL-FV M/C TS10/12,04-01-2023,03-01-2025,16.08333333,9.468100524,0.346556137,24,24,1,Smooth,1.086805454,Seasonal,C
