Trade Date,Contract Descriptor,Exchange,Action,Qty,Price,Value,Order Ref.,Securities Transaction Tax-STT,Transaction Charges,Stamp Duty,SEBI Turnover Charges,Brokerage,Service Tax On Brokerage,Total Charges
"30-Mar-26","OPT-NIFTY-30-Mar-2026-22600-P-E-I","NSE","Buy","260","111.4","28964","#202603302700006130","0","10.29","0","0.03","116","22.74","149.06"
"30-Mar-26","OPT-NIFTY-30-Mar-2026-22600-P-E-I","NSE","Buy","260","113.2","29432","#202603302700005949","0","10.46","2","0.03","116","22.76","151.25"
"30-Mar-26","OPT-NIFTY-30-Mar-2026-22600-P-E-I","NSE","Sell","520","159.9","83148","#202603302700010347","83","29.54","0","0.08","232","47.08","391.7"
"30-Jan-26","OPT-NIFTY-03-Feb-2026-25300-P-E-I","NSE","Sell","65","208.8","13572","#202601302700020593","13.57","4.82","0","0.01","29","6.1","53.5"
"30-Jan-26","OPT-NIFTY-03-Feb-2026-25250-C-E-I","NSE","Buy","65","234.8","15262","#202601302700032962","0","5.42","0","0.02","29","6.2","40.64"
"30-Jan-26","OPT-NIFTY-03-Feb-2026-25250-C-E-I","NSE","Buy","65","250.55","16285.75","#202601302700035163","0","5.79","0","0.02","29","6.26","41.07"
"30-Jan-26","OPT-NIFTY-03-Feb-2026-25250-C-E-I","NSE","Sell","65","251.55","16350.75","#202601302700035394","16","5.81","0","0.02","29","6.26","57.09"
"30-Jan-26","OPT-NIFTY-03-Feb-2026-25300-P-E-I","NSE","Buy","65","217.6","14144","#202601302700020353","0","5.03","0.42","0.01","29","6.12","40.58"
"30-Jan-26","OPT-NIFTY-03-Feb-2026-25250-C-E-I","NSE","Sell","130","234.9","30537","#202601302700005687","30.54","10.85","0","0.03","58","12.4","111.82"
"30-Jan-26","OPT-NIFTY-03-Feb-2026-25250-C-E-I","NSE","Buy","130","201.25","26162.5","#202601302700002911","0","9.3","1.58","0.02","58","12.12","81.02"
"30-Jan-26","OPT-NIFTY-03-Feb-2026-25250-C-E-I","NSE","Sell","65","259.9","16893.5","#202601302700033361","16.89","6","0","0.02","29","6.3","58.21"
"29-May-25","OPT-NIFTY-29-May-2025-24750-C-E-I","NSE","Sell","150","29.25","4387.5","#202505293700021886","4.38","1.56","0","0","58","10.72","74.66"
"29-May-25","OPT-NIFTY-29-May-2025-24750-C-E-I","NSE","Buy","150","28.15","4222.5","#202505293700021784","0","1.5","0","0","58","10.72","70.22"
"29-May-25","OPT-NIFTY-29-May-2025-24050-P-E-I","NSE","Sell","75","1.5","112.5","#202505293700001341","0.61","0.04","0","0","29","5.22","34.87"
"29-Jan-26","OPT-NIFTY-03-Feb-2026-25400-P-E-I","NSE","Buy","130","178.75","23237.5","#202601292700028229","0","8.26","0.61","0.02","58","11.92","78.81"
"29-Jan-26","OPT-NIFTY-03-Feb-2026-25300-C-E-I","NSE","Sell","65","161.55","10500.75","#202601292700012571","10.19","3.73","0","0.01","29","5.9","48.83"
"29-Jan-26","OPT-NIFTY-03-Feb-2026-25400-P-E-I","NSE","Sell","130","167.8","21814","#202601292700028824","21.81","7.75","0","0.02","58","11.84","99.42"
"29-Jan-26","OPT-NIFTY-03-Feb-2026-25300-C-E-I","NSE","Buy","65","199.6","12974","#202601292700003148","0","4.61","0.39","0.01","29","6.06","40.07"
"28-Nov-25","OPT-NIFTY-02-Dec-2025-26100-P-E-I","NSE","Buy","375","44.1","16537.5","#202511283700015905","0","5.88","0.76","0.02","145","27.16","178.82"
"28-Nov-25","OPT-NIFTY-02-Dec-2025-26100-P-E-I","NSE","Buy","75","44.1","3307.5","#202511283700015879","0","1.18","0","0","29","5.44","35.62"
"28-Nov-25","OPT-NIFTY-02-Dec-2025-26200-C-E-I","NSE","Sell","75","105","7875","#202511283700015412","8","2.8","0","0.01","29","5.72","45.53"
"28-Nov-25","OPT-NIFTY-02-Dec-2025-26200-C-E-I","NSE","Buy","75","105.85","7938.75","#202511283700015346","0","2.82","0.24","0.01","29","5.72","37.79"
"28-Jan-26","OPT-NIFTY-03-Feb-2026-25300-P-E-I","NSE","Buy","195","202.4","39468","#202601282700019168","0","14.01","0","0.03","87","18.18","119.22"
"28-Jan-26","OPT-NIFTY-03-Feb-2026-25300-P-E-I","NSE","Sell","195","209.9","40930.5","#202601282700019192","40.93","14.54","0","0.04","87","18.28","160.79"
"28-Jan-26","OPT-NIFTY-03-Feb-2026-25400-C-E-I","NSE","Sell","195","179.25","34953.75","#202601282700019090","34.95","12.42","0","0.04","87","17.9","152.31"
"28-Jan-26","OPT-NIFTY-03-Feb-2026-25400-C-E-I","NSE","Buy","65","190.25","12366.25","#202601282700018753","0","4.39","0","0.01","29","6.02","39.42"
"28-Jan-26","OPT-NIFTY-03-Feb-2026-25400-C-E-I","NSE","Buy","130","200.4","26052","#202601282700017879","0","9.26","1.15","0.03","58","12.12","80.56"
"28-Jan-26","OPT-NIFTY-03-Feb-2026-25300-P-E-I","NSE","Buy","65","203.1","13201.5","#202601282700004257","0","4.69","1.85","0.01","29","6.06","41.61"
"28-Jan-26","OPT-NIFTY-03-Feb-2026-25300-P-E-I","NSE","Sell","65","219.9","14293.5","#202601282700004408","14.12","5.08","0","0.01","29","6.14","54.35"
"28-Aug-25","OPT-NIFTY-28-Aug-2025-24550-C-E-I","NSE","Buy","675","40.07","27048.75","#202508283700004752","0","9.62","0.68","0.01","261","48.76","320.07"
"28-Aug-25","OPT-NIFTY-28-Aug-2025-24550-C-E-I","NSE","Sell","675","49.55","33446.25","#202508283700005256","33.45","11.88","0","0.03","261","49.14","355.5"
"28-Aug-25","OPT-NIFTY-28-Aug-2025-24500-P-E-I","NSE","Buy","600","9.6","5760","#202508283700018912","0","2.05","0","0","232","42.12","276.17"
"28-Aug-25","OPT-NIFTY-28-Aug-2025-24500-P-E-I","NSE","Buy","600","8.25","4950","#202508283700019428","0","1.76","0.32","0","232","42.08","276.16"
"28-Aug-25","OPT-NIFTY-28-Aug-2025-24500-P-E-I","NSE","Sell","1200","17.65","21180","#202508283700020082","21.55","7.53","0","0.02","464","84.88","577.98"
"27-Nov-25","OPT-NIFTY-02-Dec-2025-26250-P-E-I","NSE","Buy","75","109","8175","#202511273700012267","0","2.9","0","0.01","29","5.74","37.65"
"27-Mar-26","OPT-NIFTY-30-Mar-2026-22950-P-E-I","NSE","Buy","260","205.25","53365","#202603272700003654","0","18.96","0","0.05","116","24.3","159.31"
"27-Mar-26","OPT-NIFTY-30-Mar-2026-22950-P-E-I","NSE","Buy","195","205.4","40053","#202603272700003756","0","14.23","0","0.04","87","18.22","119.49"
"27-Mar-26","OPT-NIFTY-30-Mar-2026-22950-P-E-I","NSE","Sell","520","229.9","119548","#202603272700011616","120.02","42.48","0","0.11","232","49.42","444.03"
"27-Mar-26","OPT-NIFTY-30-Mar-2026-22950-P-E-I","NSE","Sell","390","249.9","97461","#202603272700013921","97.45","34.62","0","0.11","174","37.56","343.74"
