Company,Area Code,Area Name,Zone,Sales Office,Sales Office Name,Cust Type,Custno,Cust Name,Docdt,Trantyp,Invno,Due Date,DueType,Collection
416,012,JAIPUR,North,90077,DPSAC LUBRICANTS,Dealers,CU1S03461,SHREE MARUTHI ASSOCIATES PVT LTD,02-12-2019,A12,19000634,01-12-2019,FTM,98176
401,036,NAGPUR,South,90076,DPSAC SPARES,Dealers,CU1P01781,PREMIER INDIA ENTERPRISES,02-12-2019,211,19007269,04-12-2019,FTM,23894
401,032,PUNE,West,90076,DPSAC SPARES,Dealers,CU1P03301,POONA PNEUMATIC PRIVATE LIMITED,03-12-2019,211,19007160,02-12-2019,FTM,12344
490,054,"SALEM,India",South,90076,DPSAC SPARES,Dealers,CRS000056,SS AGENCIES,04-12-2019,412,19009968,04-12-2019,FTM,91389
490,053,COCHIN,South,90076,DPSAC SPARES,Dealers,CU1P00004,PREMIER TECHNO TRADES (P) LIMITED,04-12-2019,412,19009942,03-12-2019,FTM,147694
490,054,"SALEM,India",South,90077,DPSAC LUBRICANTS,Dealers,CU1A01956,ADHI VINAYAGAR ENTERPRISES,09-12-2019,412,19009915,03-12-2019,FTM,194524
490,043,BANGALORE,South,90076,DPSAC SPARES,Dealers,CU1M02190,M K AGENCIES,09-12-2019,412,19009938,03-12-2019,FTM,126319
490,042,HYDERABAD,South,90076,DPSAC SPARES,Dealers,CU1A00851,AAR VEE PNEUMATIC SERVICES,03-12-2019,412,19009911,03-12-2019,FTM,20699
490,054,"SALEM,India",South,90076,DPSAC SPARES,Dealers,CRS000056,SS AGENCIES,04-12-2019,412,19010015,08-12-2019,FTM,353275
490,042,HYDERABAD,South,90076,DPSAC SPARES,Dealers,CU1A00851,AAR VEE PNEUMATIC SERVICES,07-12-2019,412,19010020,08-12-2019,FTM,13923
490,054,"SALEM,India",South,90076,DPSAC SPARES,Dealers,CRS000056,SS AGENCIES,04-12-2019,412,19010073,08-12-2019,FTM,11089
490,032,PUNE,West,90076,DPSAC SPARES,Dealers,CU1P03301,POONA PNEUMATIC PRIVATE LIMITED,05-12-2019,412,19010046,08-12-2019,FTM,10408
490,043,BANGALORE,South,90076,DPSAC SPARES,Dealers,CU1M02190,M K AGENCIES,09-12-2019,412,19010105,08-12-2019,FTM,4201
490,043,BANGALORE,South,90076,DPSAC SPARES,Dealers,CU1M02190,M K AGENCIES,02-12-2019,412,19009845,02-12-2019,FTM,21970
490,012,JAIPUR,North,90076,DPSAC SPARES,Dealers,CU1A00004,AUTO CARE CORPORATION,04-12-2019,412,19009711,05-12-2019,FTM,87587
490,043,BANGALORE,South,90076,DPSAC SPARES,Dealers,CU1M02190,M K AGENCIES,09-12-2019,412,19010333,10-12-2019,FTM,10720
490,043,BANGALORE,South,90076,DPSAC SPARES,Dealers,CU1M02190,M K AGENCIES,09-12-2019,412,19010475,11-12-2019,FTM,7823
490,021,CALCUTTA,East,90076,DPSAC SPARES,Dealers,CU1P02029,PRIME POWER,07-12-2019,412,19010286,20-12-2019,FTM,34394
490,033,AHEMEDABAD,West,90077,DPSAC LUBRICANTS,Dealers,CU1U00001,UNITRADE INDIA,06-12-2019,412,19010232,15-12-2019,FTM,11868
490,043,BANGALORE,South,90076,DPSAC SPARES,Dealers,CU1M02190,M K AGENCIES,09-12-2019,412,19010188,09-12-2019,FTM,2749
490,043,BANGALORE,South,90076,DPSAC SPARES,Dealers,CU1J00559,JAI ENTERPRISES,05-12-2019,412,19010835,22-12-2019,FTM,148517
490,043,BANGALORE,South,90076,DPSAC SPARES,Dealers,CU1M02190,M K AGENCIES,02-12-2019,412,19009322,20-11-2019,OD,429892
490,043,BANGALORE,South,90076,DPSAC SPARES,Dealers,CU1M02190,M K AGENCIES,02-12-2019,412,19009466,24-11-2019,OD,31491
490,054,"SALEM,India",South,90076,DPSAC SPARES,Dealers,CRS000056,SS AGENCIES,04-12-2019,412,19009729,30-11-2019,OD,2792
490,043,BANGALORE,South,90076,DPSAC SPARES,Dealers,CU1M02190,M K AGENCIES,02-12-2019,412,19009715,30-11-2019,OD,81494
490,042,HYDERABAD,South,90077,DPSAC LUBRICANTS,Others,CRA000455,AMARAVATHI PNEUMATIC SERVICES,07-12-2019,412,19010266,10-12-2019,FTM,116584
490,042,HYDERABAD,South,90076,DPSAC SPARES,Others,CRA000455,AMARAVATHI PNEUMATIC SERVICES,07-12-2019,412,19010294,10-12-2019,FTM,287144
490,051,COIMBATORE,South,90076,DPSAC SPARES,Others,CU1P00944,PARANTHAMAN EXPORTERS,04-12-2019,412,19010481,01-12-2019,FTM,19687
490,021,CALCUTTA,East,90077,DPSAC LUBRICANTS,Others,CRD000101,DRILLMAN,04-12-2019,412,19010402,01-12-2019,FTM,38409
490,021,CALCUTTA,East,90077,DPSAC LUBRICANTS,Others,CRD000101,DRILLMAN,04-12-2019,412,19010656,07-12-2019,FTM,153636
490,042,HYDERABAD,South,90076,DPSAC SPARES,Others,CRA000455,AMARAVATHI PNEUMATIC SERVICES,07-12-2019,412,19010564,15-12-2019,FTM,53078
401,051,COIMBATORE,South,90076,DPSAC SPARES,Others,CU1R00782,REVATHI EQUIPMENT LIMITED,03-12-2019,211,19005503,02-11-2019,OD,141600
490,051,COIMBATORE,South,90076,DPSAC SPARES,Others,CU1P00944,PARANTHAMAN EXPORTERS,04-12-2019,412,19010111,28-11-2019,OD,11368
490,051,COIMBATORE,South,90076,DPSAC SPARES,Others,CU1P00944,PARANTHAMAN EXPORTERS,04-12-2019,412,19010040,28-11-2019,OD,53258
490,051,COIMBATORE,South,90076,DPSAC SPARES,Others,CU1P00944,PARANTHAMAN EXPORTERS,04-12-2019,412,19009998,24-11-2019,OD,35218
490,051,COIMBATORE,South,90076,DPSAC SPARES,Others,CU1P00944,PARANTHAMAN EXPORTERS,04-12-2019,412,19009757,20-11-2019,OD,96302
490,021,CALCUTTA,East,90077,DPSAC LUBRICANTS,Others,CU1D01656,DRILLMAN,04-12-2019,412,19010230,30-11-2019,OD,115227
490,021,CALCUTTA,East,90077,DPSAC LUBRICANTS,Others,CU1D01656,DRILLMAN,04-12-2019,412,19010321,30-11-2019,OD,76818
490,051,COIMBATORE,South,90076,DPSAC SPARES,Others,CU1R00782,REVATHI EQUIPMENT LIMITED,03-12-2019,412,19008484,25-11-2019,OD,87722
490,051,COIMBATORE,South,90076,DPSAC SPARES,Others,CU1R00782,REVATHI EQUIPMENT LIMITED,03-12-2019,412,19008485,25-11-2019,OD,17507
490,051,COIMBATORE,South,90076,DPSAC SPARES,Others,CU1R00782,REVATHI EQUIPMENT LIMITED,03-12-2019,412,19008458,24-11-2019,OD,150228
