,company,dpst,trantype,orderno,positionno,invoice,custcode,item,rate1,rate2,ed_amount,amth1,txah1,foreign_currency_amount,unitprice,deliveryqty,sales_amount,saleordertype,stoa,taxcode,orderdate,deladdress,salesrepcode,salesrep,lobcode,lineofbusiness
0,600,90042,614,622000868,120,17001328,CU1F00158,1199AA006,1,1.00E-06,118.32,816,118.32,816,408,2,816,615,ADD058845,AGG0134,05-06-2017 06:32,"PLOT NO 419(A) OLD NO - 420 - SECTOR 8OLD NO - 420 - SECTOR 8,IMTMANESAR,GURGAON -122050",200085,BASKARAN K,A09,4W Ford
1,600,90042,614,622000868,120,17001328,CU1F00158,1199AA006,1,1.00E-06,118.32,816,118.32,816,408,2,816,615,ADD058845,AGG0134,05-06-2017 06:32,"PLOT NO 419(A) OLD NO - 420 - SECTOR 8OLD NO - 420 - SECTOR 8,IMTMANESAR,GURGAON -122050",200085,BASKARAN K,A09,4W Ford
2,600,90040,613,603001287,30,17000948,CU1S09721,FRT,1,1.00E-06,0,3500,0,3500,3500,1,3500,611,ADD059381,AGG000001,07-06-2017 00:45,"VISAT PETROLEUM, NR.VISHAL PARTY PLOTSABARMATI, AHMEDABAD380 005",200085,BASKARAN K,L01,Other Industry
3,600,90040,613,603001287,30,17000948,CU1S09721,FRT,1,1.00E-06,0,3500,0,3500,3500,1,3500,611,ADD059381,AGG000001,07-06-2017 00:45,"VISAT PETROLEUM, NR.VISHAL PARTY PLOTSABARMATI, AHMEDABAD380 005",200085,BASKARAN K,L01,Other Industry
4,600,90042,614,622000838,10,17001376,CU1V01656,4899FT003,1,1.00E-06,620,31000,620,31000,31000,1,31000,615,ADD059324,AGG0133,02-06-2017 10:03,KOTA  ,200085,BASKARAN K,A13,4W Unorganised/General
5,600,90042,614,622000838,10,17001376,CU1V01656,4899FT003,1,1.00E-06,620,31000,620,31000,31000,1,31000,615,ADD059324,AGG0133,02-06-2017 10:03,KOTA  ,200085,BASKARAN K,A13,4W Unorganised/General
6,600,90042,614,622000892,10,17001478,CU1P00003,2399BR001,1,1.00E-06,1600,80000,1600,80000,80000,1,80000,615,DLC011032,AGG0133,07-06-2017 00:45,"SAVEDI NAKA,NAGAR MANMAD ROAD,AHMEDNAGAR-414003 ",200085,BASKARAN K,A13,4W Unorganised/General
7,600,90042,614,622000892,10,17001478,CU1P00003,2399BR001,1,1.00E-06,1600,80000,1600,80000,80000,1,80000,615,DLC011032,AGG0133,07-06-2017 00:45,"SAVEDI NAKA,NAGAR MANMAD ROAD,AHMEDNAGAR-414003 ",200085,BASKARAN K,A13,4W Unorganised/General
8,600,90042,614,622000956,10,17001618,CU1R00005,200320440,1,1.00E-06,1160,58000,1160,58000,58000,1,58000,615,ADD012388,AGG0133,13-06-2017 05:18,"376  OPP. POLICE STATION4TH C ROAD, SARDARPURAJODHPUR - 342 003,MOB:98290 22394",200085,BASKARAN K,C08,TYRE General
9,600,90042,614,622000956,10,17001618,CU1R00005,200320440,1,1.00E-06,1160,58000,1160,58000,58000,1,58000,615,ADD012388,AGG0133,13-06-2017 05:18,"376  OPP. POLICE STATION4TH C ROAD, SARDARPURAJODHPUR - 342 003,MOB:98290 22394",200085,BASKARAN K,C08,TYRE General
10,600,90042,614,622000942,10,17001629,CU1B01331,9099EL023,1,1.00E-06,1440,72000,1440,72000,72000,1,72000,RGS,DLC045312,AGG0133,12-06-2017 01:52,ATRU ROADBARAN325 205,200085,BASKARAN K,A01,4W Maruti
11,600,90042,614,622000942,10,17001629,CU1B01331,9099EL023,1,1.00E-06,1440,72000,1440,72000,72000,1,72000,RGS,DLC045312,AGG0133,12-06-2017 01:52,ATRU ROADBARAN325 205,200085,BASKARAN K,A01,4W Maruti
12,600,90042,614,622000974,10,17001571,CU1H00919,2399BR001,1,1.00E-06,1750,87500,1750,87500,87500,1,87500,615,ADD059442,AGG0133,13-06-2017 05:19,"NEAR KARMA VILLA,NEAR HOLLY CHILD SCHOOLBORISANA ROAD, PANCHVATI AREAKALOL, GANDHINAGAR – 382721",200085,BASKARAN K,A13,4W Unorganised/General
13,600,90042,614,622000974,10,17001571,CU1H00919,2399BR001,1,1.00E-06,1750,87500,1750,87500,87500,1,87500,615,ADD059442,AGG0133,13-06-2017 05:19,"NEAR KARMA VILLA,NEAR HOLLY CHILD SCHOOLBORISANA ROAD, PANCHVATI AREAKALOL, GANDHINAGAR – 382721",200085,BASKARAN K,A13,4W Unorganised/General
14,600,90042,614,622000844,10,17001591,CU1S00003,9099EL007,1,1.00E-06,3860,193000,3860,193000,193000,1,193000,RGS,DA1035607,AGG0133,02-06-2017 10:03,79 SEVOKE ROADSILIGURI - 734401 ,200085,BASKARAN K,A05,4W M & M
15,600,90042,614,622000844,10,17001591,CU1S00003,9099EL007,1,1.00E-06,3860,193000,3860,193000,193000,1,193000,RGS,DA1035607,AGG0133,02-06-2017 10:03,79 SEVOKE ROADSILIGURI - 734401 ,200085,BASKARAN K,A05,4W M & M
16,600,90040,613,603001248,10,17001124,CU1M03718,Z15005,1,1.00E-06,4378.1,29682,4378.1,29682,29682,1,29682,611,ADD039946,AGG0077,02-06-2017 10:03,"NO 8,FIRST CROSS,SUNDAR RAJA NAGAR100 FT,NR INDIRA GANDHI STATUEPONDICHERRY-605 005",200085,BASKARAN K,L01,Other Industry
17,600,90040,613,603001248,10,17001124,CU1M03718,Z15005,1,1.00E-06,4378.1,29682,4378.1,29682,29682,1,29682,611,ADD039946,AGG0077,02-06-2017 10:03,"NO 8,FIRST CROSS,SUNDAR RAJA NAGAR100 FT,NR INDIRA GANDHI STATUEPONDICHERRY-605 005",200085,BASKARAN K,L01,Other Industry
18,600,90042,614,622000910,10,17001511,CU1A03533,1699EL007,1,1.00E-06,820,41000,820,41000,41000,1,41000,615,ADD059404,AGG0133,08-06-2017 03:36,"DEOGHAR DUMKA ROAD,JHOUSHAGARHINEAR BAZAR SAMITIDEOGHAR-814112",200085,BASKARAN K,A23,4W - RENAULT
19,600,90042,614,622000910,10,17001511,CU1A03533,1699EL007,1,1.00E-06,820,41000,820,41000,41000,1,41000,615,ADD059404,AGG0133,08-06-2017 03:36,"DEOGHAR DUMKA ROAD,JHOUSHAGARHINEAR BAZAR SAMITIDEOGHAR-814112",200085,BASKARAN K,A23,4W - RENAULT
20,600,90040,613,603001333,10,17001250,CU1A02024,S38006,1,1.00E-06,26845,182000,26845,182000,182000,1,182000,611,DA1029302,AGG0077,09-06-2017 06:35,"7,NEWAL KISHORE ROADHAZRATGANJLUCKNOW - 226 001 (U.P)",200085,BASKARAN K,C07,TYRE General
21,600,90040,613,603001333,10,17001250,CU1A02024,S38006,1,1.00E-06,26845,182000,26845,182000,182000,1,182000,611,DA1029302,AGG0077,09-06-2017 06:35,"7,NEWAL KISHORE ROADHAZRATGANJLUCKNOW - 226 001 (U.P)",200085,BASKARAN K,C07,TYRE General
22,600,90040,613,603001433,10,17001263,CU1A02024,S12102,1,1.00E-06,11800,80000,11800,80000,80000,1,80000,611,ADD059496,AGG0077,19-06-2017 13:28,GONDA(U.P.)-271001  ,200085,BASKARAN K,A13,4W Unorganised/General
23,600,90040,613,603001433,10,17001263,CU1A02024,S12102,1,1.00E-06,11800,80000,11800,80000,80000,1,80000,611,ADD059496,AGG0077,19-06-2017 13:28,GONDA(U.P.)-271001  ,200085,BASKARAN K,A13,4W Unorganised/General
24,600,90040,613,603001437,10,17001265,CU1R01453,S12102,1,1.00E-06,23050,80000,23050,80000,80000,1,80000,611,DLC030091,AGG0079,19-06-2017 13:28,"PLOT No.109/1 & 109/2, MAUZAKOIRAJPUR, PARGANA ATHGAWANTEHSIL : PINDRA, VARANASI",200085,BASKARAN K,A05,4W M & M
25,600,90040,613,603001437,10,17001265,CU1R01453,S12102,1,1.00E-06,23050,80000,23050,80000,80000,1,80000,611,DLC030091,AGG0079,19-06-2017 13:28,"PLOT No.109/1 & 109/2, MAUZAKOIRAJPUR, PARGANA ATHGAWANTEHSIL : PINDRA, VARANASI",200085,BASKARAN K,A05,4W M & M
26,600,90042,614,622001064,10,17001910,CU1S02416,200320440,1,1.00E-06,2320,116000,2320,116000,58000,2,116000,615,DLC054296,AGG0133,23-06-2017 03:37,"#1/1, GANGA NILAYA,NEW TIMBER YARD LAYOUT58 BUS STOP BYTARAYANAPURAMYSORE ROAD, BANGALORE-560 026",200085,BASKARAN K,C09,Tyre Shop - HOT
27,600,90042,614,622001064,10,17001910,CU1S02416,200320440,1,1.00E-06,2320,116000,2320,116000,58000,2,116000,615,DLC054296,AGG0133,23-06-2017 03:37,"#1/1, GANGA NILAYA,NEW TIMBER YARD LAYOUT58 BUS STOP BYTARAYANAPURAMYSORE ROAD, BANGALORE-560 026",200085,BASKARAN K,C09,Tyre Shop - HOT
28,600,90042,614,622000977,30,17001811,CU1V01656,2399BR001,1,1.00E-06,1250,62500,1250,62500,62500,1,62500,615,ADD059525,AGG0133,13-06-2017 05:19,Mr.YOGESH GUPTA - 07426973731NEAR RAILWAY SATATIONBHARATPUR,200085,BASKARAN K,C08,TYRE General
29,600,90042,614,622000977,30,17001811,CU1V01656,2399BR001,1,1.00E-06,1250,62500,1250,62500,62500,1,62500,615,ADD059525,AGG0133,13-06-2017 05:19,Mr.YOGESH GUPTA - 07426973731NEAR RAILWAY SATATIONBHARATPUR,200085,BASKARAN K,C08,TYRE General
30,600,90042,614,622001006,20,17001717,CU1V01656,3603VDE001,1,1.00E-06,8,400,8,400,200,2,400,615,ADD059324,AGG0133,16-06-2017 05:56,KOTA  ,200085,BASKARAN K,A01,4W Maruti
31,600,90042,614,622001006,20,17001717,CU1V01656,3603VDE001,1,1.00E-06,8,400,8,400,200,2,400,615,ADD059324,AGG0133,16-06-2017 05:56,KOTA  ,200085,BASKARAN K,A01,4W Maruti
32,600,90042,614,622001099,30,17002101,CU1J00730,9099EL023,1,1.00E-06,1600,80000,1600,80000,80000,1,80000,RGS,ADD059574,AGG0133,27-06-2017 12:38,INDRANI KRISHI FARM HOUSENEAR RTO OFFICE MAHOBA ROADCHHATARPUR (M.P.) - 471001,200085,BASKARAN K,A01,4W Maruti
33,600,90042,614,622001099,30,17002101,CU1J00730,9099EL023,1,1.00E-06,1600,80000,1600,80000,80000,1,80000,RGS,ADD059574,AGG0133,27-06-2017 12:38,INDRANI KRISHI FARM HOUSENEAR RTO OFFICE MAHOBA ROADCHHATARPUR (M.P.) - 471001,200085,BASKARAN K,A01,4W Maruti
34,600,90042,614,622001061,30,17002114,CU1E01065,4899SZ010,1,1.00E-06,320,16000,320,16000,16000,1,16000,615,ADD044563,AGG0133,23-06-2017 03:37,"BHAVNAGAR RAJKOT HIGHWAYBHAVNAGAR,GUJARATMOB:97145 08886",200085,BASKARAN K,A03,4W Honda
35,600,90042,614,622001061,30,17002114,CU1E01065,4899SZ010,1,1.00E-06,320,16000,320,16000,16000,1,16000,615,ADD044563,AGG0133,23-06-2017 03:37,"BHAVNAGAR RAJKOT HIGHWAYBHAVNAGAR,GUJARATMOB:97145 08886",200085,BASKARAN K,A03,4W Honda
36,600,90040,613,603001385,10,17001366,CU1V00377,S25004,1,1.00E-06,15690.32,106375,15690.32,106375,106375,1,106375,611,ADD037959,AGG0077,14-06-2017 01:34,"2-4-135,SNEHAPURI COLONYOPP-IBJ PETROL BANK,NAGOLEHYDERABAD",200085,BASKARAN K,A03,4W Honda
37,600,90040,613,603001385,10,17001366,CU1V00377,S25004,1,1.00E-06,15690.32,106375,15690.32,106375,106375,1,106375,611,ADD037959,AGG0077,14-06-2017 01:34,"2-4-135,SNEHAPURI COLONYOPP-IBJ PETROL BANK,NAGOLEHYDERABAD",200085,BASKARAN K,A03,4W Honda
38,600,90042,614,622001026,10,17001943,CU1V01739,3899YS008,1,1.00E-06,6000,300000,6000,300000,300000,1,300000,RGS,ADD059486,AGG0133,19-06-2017 10:08,"MOHANPURA, MOHAMMADPURSOUTH CIVIL LINESROORKEE, HARIDWAR-247667",200085,BASKARAN K,C08,TYRE General
