,custcode,custname1,custareacode,fincustgrp,custaddress,currency
0,CU1B00077,BHARAT EARTH MOVERS LIMITED,43,2,BHARAT EARTH MOVERS LIMITED  EM DIVISION KOLAR GOLD FIELDS KOLAR ,IND
1,CU1B00078,BHARAT EARTH MOVERS LIMITED,43,2,BHARAT EARTH MOVERS LIMITED  MARKETING DIVISION BEML NAGAR POST KGF ,IND
2,CU1B00079,BHARAT ELECTRICAL AND ELECTRONIC EQ,31,1,"BHARAT ELECTRICAL AND ELECTRONIC EQ UIPMENTS PARSN'S TRADE PLAZA KURLA ANDHERI ROAD, ANDHERI(E) MUMBAI ",IND
3,CU1B00206,BHADADA MOTORS,12,1,BHADADA MOTORS    BHILWARA RAJASTHAN,IND
4,CU1B00207,BORA BROTHERS,34,1,BORA BROTHERS  SHOP NO 5 HAMIDIA ROAD BHOPAL ,IND
5,CU1B00208,BIMPEX SPARES AND SERVICE,31,1,BIMPEX SPARES AND SERVICE  6 OAK LANE FORT MUMBAI ,IND
6,CU1B00209,BHARAT DRILLING AND TUBEWELL,12,1,BHARAT DRILLING AND TUBEWELL    JAIPUR ,IND
7,CU1B00210,BHARDWAJ AUTOMOBILES,11,1,BHARDWAJ AUTOMOBILES  641 MAIN CHOUK BURARI DELHI ,IND
8,CU1B00212,BPL LIMITED,43,1,BPL LIMITED  28B/29 KIADB INDUSTRIAL AREA DODDABALLAPUR BANGALORE ,IND
9,CU1B00213,B V V PAPER INDUSTRIES LIMITED,51,1,B V V PAPER INDUSTRIES LIMITED  SWAMINATHAPURAM DADATHUKULAM UDUMALPET ,IND
10,CU1B00214,BHARAT PETROLEUM CORPORATION LTD,41,2,"BHARAT PETROLEUM CORPORATION LTD  NO 1 RENGANATHAN GARDENS P B NO.1212 & 1213, ANNA NAGAR CHENNAI ",IND
11,CU1A01292,AUTO CLUB,53,1,AUTO CLUB  NEW M M D C ITC MC ROAD VADAKKADATHUOAVU ADOOR,IND
12,CU1B00040,BANSAL SUPPLY CORPORATION,12,1,BANSAL SUPPLY CORPORATION    JAIPUR ,IND
13,CU1B00043,BARAUNI THERMAL POWER STATION,21,2,BARAUNI THERMAL POWER STATION    BEGUSARAI ,IND
14,CU1B00044,BARUTWALE BOREWELLS,31,1,BARUTWALE BOREWELLS  .  WARDHA ,IND
15,CU1B00045,BATLIBOI INTERNATIONAL LIMITED,31,1,BATLIBOI INTERNATIONAL LIMITED  15 J N HEREDIA MARG BALLARD ESTATE MUMBAI ,IND
16,CU1B00046,BATTAMACODE SERVICE STATION,43,1,BATTAMACODE SERVICE STATION  KINNIGOLI PO  MANGALORE ,IND
17,CU1B00047,BCC FUBA INDIA LIMITED,11,1,BCC FUBA INDIA LIMITED    NEW DELHI ,IND
18,CU1B00198,BHARAT PETROLEUM CORPORATION LTD,12,2,"BHARAT PETROLEUM CORPORATION LTD   33, INDUSTRIAL ESTATE, P.O. AND DIST. KHORDHA ORISSA",IND
19,CU1A01277,ARYA BHANGY MOTORS,53,1,ARYA BHANGY MOTORS  AMC XVII/506(B) N H BYE PASS ROAD ALWAYE ,IND
20,CU1A01278,ATUL AUTO AGENCY,33,1,ATUL AUTO AGENCY  CROSS ROAD P N MARG JAMNAGAR ,IND
21,CU1A01279,ANMOL AUTO AGENCY,34,1,ANMOL AUTO AGENCY  N H 7 URRAHAT REWA ,IND
22,CU1A01280,AUTOCRAT ENGINEERS,42,1,AUTOCRAT ENGINEERS  140/3 B NARAYANAPARK DOORAVANINAGAR POST BANGALORE-16 ,IND
23,CU1A01282,APEX AUTOMOTIVE,33,1,"APEX AUTOMOTIVE  4/11 HARINAGAR SOCIETY OPP:DAHYBHAI PARK KANKARIA-SHAHALAM ROAD MARIANAGAR,AHMEDABAD",IND
24,CU1A01283,ASSOCIATED CAPSULES PVT LTD,31,1,"ASSOCIATED CAPSULES PVT LTD  131,KANDIVILI INDUSTL   ESTATE KANDIVILI MUMBAI ",IND
25,CU1B00080,BHARAT ELECTRONICS LIMITED,43,1,BHARAT ELECTRONICS LIMITED  JALAHALLI POST  BANGALORE ,IND
26,CU1A01229,ANJI REDDY,45,1,ANJI REDDY     PONDICHERY,IND
27,CU1A01230,ANAND SERVICING CENTER,41,1,"ANAND SERVICING CENTER  NO-5,APSA THEATER BACK SIDE RATPADI VELLORE ",IND
28,CU1A01231,AIA ENGINEERING PVT LTD,33,1,"AIA ENGINEERING PVT LTD  115, G V M M ESTATE ODHAV ROAD AHMEDABAD ",IND
29,CU1A01232,AMBIGAPATHI M,45,1,AMBIGAPATHI M    PONDICHERY ,IND
30,CU1A01233,ANANT TEX-FAB,31,1,ANANT TEX-FAB PLOT NO 70-TTC AREA MIDC MAHAPE VILLAGE  NEW MUMBAI ,IND
31,CU1A01236,AHILL KNIT EXPORTS,51,1,"AHILL KNIT EXPORTS  62,SADAIYAPPAN KOIL STREET  TIRUPUR-1 ",IND
32,CU1A01237,ALLIED METALS PVT LTD,611,3,"ALLIED METALS PVT LTD  1C,LEVEL 5,EAST TOWER WORLD TRADE CENTRE ECHELON SQUARE COLOMBO-01",IND
33,CU1B00215,BURMAN LABORATORIES LIMITED,34,1,"BURMAN LABORATORIES LIMITED  PLOT NO 101 MAKSI INDL. AREA, MAKSI SHAJAPUR ",IND
34,CU1A01555,ALUTEC EXTRUSIONS PVT LTD,611,3,ALUTEC EXTRUSIONS PVT LTD  SAPUGASKANDA  MAKOLA SRILANKA,USD
35,CU1A01557,ANGHU PHARMA PVT LTD,52,1,"ANGHU PHARMA PVT LTD  22-A,RS ROAD  DINDIGUL ",IND
36,CU1A01558,AUTO ZONE,58,1,AUTO ZONE  KPK RIALTD THANA KANNUR ,IND
37,CU1A01559,APARNA CLOTHING COMPANY,51,1,"APARNA CLOTHING COMPANY  SF NO 45,VENUS GARDEN MANGALAM ROAD,ANDIPALAYAM TIRUPUR NAVAPUR",IND
38,CU1A01560,ASHOK MR,52,1,ASHOK MR  ASHOK STUDIA USILAMBATTI MADURAI ,IND
39,CU1A03102,ARVILSELVI P,45,1,ARVILSELVI P  W/O PRABHAKARAN P NO 11-2ND STREET VILLIANUR MAIN ROAD PONDICHERRY,IND
40,CU1A03103,AANCHAL ENTERPRISES,21,1,"AANCHAL ENTERPRISES  22,BURO SHIVTOLLA MAIN ROAD  KOLKATTA ",IND
41,CU1B00049,BELGAUM SANDS PRIVATE LIMITED,43,1,"BELGAUM SANDS PRIVATE LIMITED  R S NO 589, PLOT NO.4 MATCHE INDUSTRIAL AREA BELGAUM ",IND
42,CU1A01126,AUTOCARE,34,1,"AUTOCARE  203,J P COMPLEX SARDAR VALLABH BHAI PATEL NAGR JAMNIPALLI KORBA",IND
43,CU1A01128,AMMAN BOREWELLS,43,1,"AMMAN BOREWELLS  PROP T SELVI NO 11& 12,II ND MAIN ROAD III CROSS,CHAMRAJPET BANGALORE",IND
